iter	RMSE
0	95.49512953
1	119.1733961
2	158.6497493
3	255.085155
4	452.3910591
5	853.8112809
6	1692.130631
7	3435.739043
8	7069.084476
9	14580.64259
10	29727.01641
11	62069.37743
12	129926.3561
13	272321.4505
14	529173.1656
15	1028906.923
16	1976994.321
17	3835322.33
18	7443525.458
19	14449940.94
20	28139068.85
21	53914942.26
22	104077218.5
23	201375962.8
24	389753058.3
25	754436807.3
26	1460467476
27	2827446408
28	5474302938
29	1.059972047e+10
30	1.940572833e+10
31	3.976722193e+10
32	7.549268535e+10
33	1.435479565e+11
34	2.729817869e+11
35	5.01067893e+11
36	9.341500511e+11
37	1.759408016e+12
38	3.336710494e+12
39	6.341760853e+12
40	1.200164865e+13
41	2.281260667e+13
42	4.339098699e+13
43	8.22189287e+13
44	1.566167102e+14
45	2.96039579e+14
46	5.632075936e+14
47	1.071674573e+15
48	2.039354965e+15
49	3.881002648e+15
50	7.399475277e+15
51	1.41341249e+16
52	2.690804499e+16
53	5.142492161e+16
54	9.774181103e+16
55	1.865377212e+17
56	3.561675569e+17
57	6.801388648e+17
58	1.2988406e+18
59	2.485320263e+18
60	4.728774359e+18
61	9.04378178e+18
62	1.724871339e+19
63	3.308866292e+19
64	6.357991305e+19
65	1.22223759e+20
66	2.340075881e+20
67	4.486538776e+20
68	8.623354021e+20
69	1.668520314e+21
70	3.234560082e+21
71	6.274639219e+21
72	1.21760138e+22
73	2.362891915e+22
74	4.58557608e+22
75	8.89922813e+22
76	1.72710358e+23
77	3.351905958e+23
78	6.505378989e+23
79	1.262585205e+24
80	2.450507831e+24
81	4.756185577e+24
82	9.231425705e+24
83	1.791785627e+25
84	3.477847965e+25
85	6.750600426e+25
86	1.310332366e+26
87	2.543476805e+26
88	4.937206943e+26
89	9.550921756e+26
90	1.813363553e+27
91	3.506398706e+27
92	5.902512069e+27
93	9.958599354e+27
94	1.682608387e+28
95	2.846123125e+28
96	4.818946989e+28
97	8.166733308e+28
98	1.38523056e+29
99	2.351561646e+29
100	3.995174134e+29
101	6.73213132e+29
102	1.142977946e+30
103	1.950482516e+30
104	3.335774686e+30
105	5.538154779e+30
106	9.519529249e+30
107	1.636615265e+31
108	3.187326158e+31
109	5.576393855e+31
110	9.759442643e+31
111	1.708461132e+32
112	2.991442321e+32
113	5.238945655e+32
114	9.176756222e+32
115	1.60772393e+33
116	2.817124751e+33
117	4.937062817e+33
118	8.653565873e+33
119	1.516985988e+34
120	2.659649454e+34
121	5.262249982e+34
122	9.205099105e+34
123	1.622899569e+35
124	2.867551029e+35
125	5.071072727e+35
126	8.971521352e+35
127	1.587618744e+36
128	2.810073465e+36
129	4.974749734e+36
130	8.808501934e+36
131	1.55993599e+37
132	2.763011227e+37
133	4.894712553e+37
134	8.672376259e+37
135	1.536785503e+38
136	2.723645577e+38
137	4.827788209e+38
138	8.558630805e+38
139	1.517459556e+39
140	2.690822679e+39
141	4.772067861e+39
142	8.464089571e+39
143	1.501428311e+40
144	2.663657176e+40
145	4.726070135e+40
146	8.386270875e+40
147	1.48827551e+41
148	2.641449999e+41
149	4.666179978e+41
150	8.324689035e+41
151	1.490171399e+42
152	2.670873573e+42
153	4.789929966e+42
154	8.593503311e+42
155	1.489672945e+43
156	2.521423781e+43
157	4.370757652e+43
158	7.618640647e+43
159	1.328493382e+44
160	2.317042056e+44
161	4.041832642e+44
162	7.051556154e+44
163	1.230413607e+45
164	2.147215761e+45
165	3.747641614e+45
166	6.54180773e+45
167	1.142074511e+46
168	1.994103162e+46
169	3.482225459e+46
170	6.081654909e+46
171	1.062286846e+47
172	1.855737216e+47
173	3.242240872e+47
174	5.665361962e+47
175	9.900635717e+47
176	1.730417756e+48
177	3.024758602e+48
178	5.287881995e+48
179	9.245352053e+48
180	1.616646966e+49
181	2.827198712e+49
182	4.944771615e+49
183	8.649365469e+49
184	1.513107228e+50
185	2.647292592e+50
186	4.632125229e+50
187	8.105952842e+50
188	1.418641329e+51
189	2.48304858e+51
190	4.346515333e+51
191	7.609216204e+51
192	1.332234448e+52
193	2.332720686e+52
194	4.084938207e+52
195	7.15398848e+52
196	1.252997792e+53
197	2.194780201e+53
198	3.844764652e+53
199	6.614360337e+53
200	1.158984835e+54
201	1.495880096e+54
202	2.135232758e+54
203	3.105584552e+54
204	4.582752344e+54
205	6.805753691e+54
206	7.887080528e+54
207	9.655431085e+54
208	1.15796199e+55
209	1.568854413e+55
210	2.352327881e+55
211	4.041304677e+55
212	5.87212282e+55
213	8.707372341e+55
214	1.312338882e+56
215	2.085782077e+56
216	3.473041333e+56
217	5.893924858e+56
218	1.013355888e+57
219	1.758449038e+57
220	3.073156053e+57
221	5.398795681e+57
222	9.522197692e+57
223	1.684432775e+58
224	2.985947203e+58
225	4.295290337e+58
226	6.136353067e+58
227	8.827541216e+58
228	1.277901465e+59
229	1.821657151e+59
230	2.593449302e+59
231	3.788628941e+59
232	5.651869325e+59
233	8.4481079e+59
234	1.321936883e+60
235	2.076516996e+60
236	3.32547448e+60
237	5.853192955e+60
238	9.152887506e+60
239	1.440679149e+61
240	2.281868031e+61
241	3.632069208e+61
242	5.806600481e+61
243	9.319103401e+61
244	1.500191505e+62
245	2.412719599e+62
246	3.875618516e+62
247	6.123252348e+62
248	9.896092291e+62
249	1.629922341e+63
250	2.539997545e+63
251	4.07174861e+63
252	6.684782833e+63
