iter	Passed	Remaining
0	2	2115
1	3	1669
2	4	1643
3	6	1544
4	7	1483
5	8	1423
6	9	1377
7	10	1340
8	11	1311
9	13	1289
10	14	1278
11	15	1281
12	16	1276
13	18	1276
14	19	1283
15	20	1285
16	22	1290
17	23	1292
18	24	1286
19	26	1286
20	27	1285
21	28	1279
22	30	1280
23	31	1281
24	32	1278
25	34	1274
26	35	1273
27	36	1274
28	38	1272
29	39	1272
30	40	1269
31	41	1268
32	43	1268
33	44	1265
34	45	1263
35	47	1262
36	48	1262
37	49	1261
38	51	1258
39	52	1253
40	53	1248
41	54	1243
42	55	1238
43	56	1233
44	57	1229
45	59	1224
46	60	1220
47	61	1216
48	62	1220
49	64	1220
50	65	1221
51	66	1218
52	68	1216
53	69	1212
54	70	1214
55	71	1212
56	73	1208
57	74	1204
58	75	1200
59	76	1197
60	77	1193
61	78	1190
62	79	1186
63	81	1185
64	82	1184
65	83	1181
66	84	1178
67	85	1174
68	86	1171
69	87	1167
70	89	1165
71	90	1161
72	91	1159
73	92	1156
74	93	1152
75	94	1150
76	96	1153
77	97	1153
78	98	1151
79	99	1148
80	100	1145
81	102	1142
82	103	1140
83	104	1137
84	105	1135
85	106	1132
86	107	1130
87	108	1127
88	109	1125
89	111	1123
90	112	1121
91	113	1119
92	114	1117
93	115	1115
94	116	1112
95	117	1110
96	119	1107
97	120	1105
98	121	1103
99	122	1100
100	123	1098
101	124	1096
102	125	1095
103	126	1092
104	127	1090
105	129	1088
106	130	1086
107	131	1087
108	132	1086
109	134	1085
110	135	1083
111	136	1081
112	137	1079
113	138	1077
114	139	1075
115	140	1074
116	142	1072
117	143	1070
118	144	1068
119	145	1066
120	146	1065
121	147	1063
122	148	1061
123	150	1059
124	151	1057
125	152	1056
126	153	1054
127	154	1054
128	156	1054
129	157	1052
130	158	1051
131	159	1049
132	160	1047
133	161	1046
134	163	1044
135	164	1043
136	165	1041
137	166	1039
138	167	1037
139	168	1035
140	169	1034
141	171	1037
142	173	1036
143	174	1035
144	175	1033
145	176	1031
146	177	1029
147	178	1028
148	179	1026
149	180	1024
150	181	1023
151	183	1021
152	184	1019
153	185	1017
154	187	1021
155	188	1020
156	189	1019
157	190	1017
158	191	1015
159	193	1013
160	194	1012
161	195	1010
162	196	1008
163	197	1006
164	198	1005
165	199	1004
166	201	1004
167	202	1004
168	203	1003
169	205	1001
170	206	999
171	207	998
172	208	996
173	209	994
174	210	992
175	211	991
176	212	990
177	214	989
178	215	989
179	216	988
180	218	987
181	219	985
182	220	984
183	221	982
184	222	980
185	223	979
186	224	977
187	226	976
188	227	974
189	228	973
190	229	971
191	230	970
192	231	968
193	232	967
194	233	965
195	234	963
196	236	962
197	237	960
198	238	959
199	239	957
200	240	956
201	241	954
202	242	953
203	243	951
204	245	950
205	246	948
206	247	947
207	248	945
208	249	944
209	250	942
210	251	941
211	252	939
212	253	938
213	255	936
214	256	935
215	257	933
216	258	932
217	259	931
218	260	929
219	261	927
220	262	926
221	263	924
222	264	922
223	265	921
224	267	919
225	268	918
226	269	916
227	270	915
228	271	913
229	272	912
230	273	911
231	274	909
232	275	908
233	277	906
234	278	905
235	279	903
236	280	902
237	281	900
238	282	899
239	283	897
240	284	896
241	285	894
242	286	893
243	287	892
244	288	890
245	290	890
246	292	890
247	293	889
248	294	888
249	296	888
250	297	886
251	298	885
252	299	884
253	300	883
254	301	881
255	302	880
256	303	878
257	305	877
258	306	876
259	307	875
260	308	873
261	309	872
262	310	871
263	311	869
264	313	868
265	314	867
266	315	865
267	316	864
268	317	862
269	318	861
270	319	860
271	320	858
272	321	857
273	322	855
274	324	854
275	325	852
276	326	851
277	327	849
278	328	848
279	329	847
280	330	845
281	331	844
282	332	843
283	333	841
284	335	840
285	336	839
286	337	837
287	338	836
288	339	835
289	340	833
290	341	832
291	342	831
