iter	RMSE
0	10.75942135
1	10.472298
2	10.21550756
3	9.975473475
4	9.731101987
5	9.530764108
6	9.335495006
7	9.146072003
8	8.971978368
9	8.824021956
10	8.689101037
11	8.557929261
12	8.447747557
13	8.328488845
14	8.228525818
15	8.120645984
16	8.02428075
17	7.898719657
18	7.812669833
19	7.720626429
20	7.617074484
21	7.527860504
22	7.446440376
23	7.378144495
24	7.323724791
25	7.268714796
26	7.205036965
27	7.15434034
28	7.092460224
29	7.04588994
30	6.992306189
31	6.94809344
32	6.910438811
33	6.862981847
34	6.822541302
35	6.775567878
36	6.741379023
37	6.710064055
38	6.667682587
39	6.634310045
40	6.599525439
41	6.571828866
42	6.546199394
43	6.524856889
44	6.504847871
45	6.484059435
46	6.446736921
47	6.421062456
48	6.398380096
49	6.381965319
50	6.356858682
51	6.33379226
52	6.310401167
53	6.285405291
54	6.25203642
55	6.23851053
56	6.210359491
57	6.18617252
58	6.163362053
59	6.145739915
60	6.129892732
61	6.116321138
62	6.103777992
63	6.089228949
64	6.072379944
65	6.054424264
66	6.032863181
67	6.020593749
68	6.002429992
69	5.987972831
70	5.967741881
71	5.949867446
72	5.935282699
73	5.921432941
74	5.900619539
75	5.883510557
76	5.869665472
77	5.851159086
78	5.841821069
79	5.834062486
80	5.822316935
81	5.812380844
82	5.795399308
83	5.784146409
84	5.767280542
85	5.752404047
86	5.73471228
87	5.723114876
88	5.709348765
89	5.703746473
90	5.690511842
91	5.669847596
92	5.659622046
93	5.643815752
94	5.624863245
95	5.611934701
96	5.594778599
97	5.583699108
98	5.575197663
99	5.565691278
100	5.551049678
101	5.537004282
102	5.527576601
103	5.511229769
104	5.499880703
105	5.484679543
106	5.47047337
107	5.457665469
108	5.443981944
109	5.436531601
110	5.428410522
111	5.414842871
112	5.402217839
113	5.390700176
114	5.37959791
115	5.369436973
116	5.360921801
117	5.348330318
118	5.338644156
119	5.327496397
120	5.320218389
121	5.312618366
122	5.304646485
123	5.298758757
124	5.286348637
125	5.277396837
126	5.271335149
127	5.262922929
128	5.253945426
129	5.24287315
130	5.233832383
131	5.222162652
132	5.209747791
133	5.203242157
134	5.199170711
135	5.192098864
136	5.183772637
137	5.174358349
138	5.165160197
139	5.154560933
140	5.143333173
141	5.129926624
142	5.123092651
143	5.114754837
144	5.101300989
145	5.094310286
146	5.086555836
147	5.076330882
148	5.059247762
149	5.052111547
150	5.0449737
151	5.027820493
152	5.015792893
153	5.010789605
154	5.003379855
155	4.987768701
156	4.979330632
157	4.971079186
158	4.96123691
159	4.953119045
160	4.945619358
161	4.935421374
162	4.926072557
163	4.919816999
164	4.913686822
165	4.900929653
166	4.891664088
167	4.885217596
168	4.877568455
169	4.870790284
170	4.860874544
171	4.851868713
172	4.847310589
173	4.84262985
174	4.836036765
175	4.8224202
176	4.815066671
177	4.808982312
178	4.799740278
179	4.79194109
180	4.778932246
181	4.772481726
182	4.760744953
183	4.751036477
184	4.743918117
185	4.733412278
186	4.724144668
187	4.716834011
188	4.702591082
189	4.693413913
190	4.685251048
191	4.677745098
192	4.668368477
193	4.661478534
194	4.655136471
195	4.650161052
196	4.642505083
197	4.63467245
198	4.627510488
199	4.618896349
200	4.611821929
201	4.604527621
202	4.595311135
203	4.586459493
204	4.581049131
205	4.573849947
206	4.568787943
207	4.564282385
208	4.555631494
209	4.550029438
210	4.541579318
211	4.532131399
212	4.527868424
213	4.523705124
214	4.51643032
215	4.510254021
216	4.501738432
217	4.492063061
218	4.48896169
219	4.481572817
220	4.473249745
221	4.469591501
222	4.464184091
223	4.455829661
224	4.449548619
225	4.44131889
226	4.436719058
227	4.43194339
228	4.427341383
229	4.420758562
230	4.41621281
231	4.409549874
232	4.403848235
233	4.399343515
234	4.392733107
