iter	Passed	Remaining
0	144	144008
1	149	74424
2	154	51186
3	158	39546
4	163	32562
5	168	27936
6	173	24603
7	178	22095
8	182	20141
9	188	18657
10	193	17384
11	198	16320
12	203	15472
13	208	14696
14	213	14043
15	218	13459
16	223	12933
17	228	12464
18	233	12048
19	238	11670
20	242	11325
21	247	11007
22	252	10728
23	258	10495
24	263	10288
25	268	10066
26	273	9862
27	278	9684
28	284	9509
29	288	9344
30	294	9211
31	299	9063
32	304	8915
33	309	8802
34	314	8682
35	319	8560
36	324	8446
37	329	8339
38	334	8240
39	339	8143
40	344	8050
41	349	7963
42	353	7874
43	358	7793
44	363	7720
45	368	7648
46	374	7590
47	379	7530
48	385	7478
49	390	7427
50	395	7364
51	400	7305
52	406	7258
53	411	7208
54	416	7155
55	421	7098
56	425	7047
57	430	6998
58	435	6949
59	440	6901
60	445	6856
61	450	6810
62	454	6766
63	460	6729
64	465	6691
65	470	6652
66	474	6614
67	479	6575
68	484	6538
69	489	6500
70	494	6465
71	498	6430
72	503	6399
73	509	6371
74	514	6342
75	519	6313
76	523	6280
77	528	6250
78	533	6221
79	538	6194
80	543	6164
81	548	6143
82	554	6122
83	559	6103
84	564	6080
85	570	6060
86	575	6034
87	579	6010
88	585	5996
89	590	5971
90	595	5948
91	600	5929
92	605	5908
93	610	5884
94	616	5870
95	621	5849
96	626	5829
97	631	5810
98	636	5789
99	641	5769
100	645	5748
101	650	5730
102	655	5712
103	660	5694
104	665	5676
105	670	5658
106	675	5640
107	680	5622
108	685	5604
109	690	5585
110	695	5569
111	700	5554
112	705	5537
113	710	5519
114	715	5503
115	719	5485
116	724	5469
117	729	5455
118	735	5443
119	740	5429
120	745	5416
121	750	5402
122	756	5391
123	761	5378
124	766	5368
125	771	5352
126	776	5339
127	781	5324
128	786	5309
129	791	5297
130	796	5284
131	801	5270
132	806	5257
133	811	5244
134	816	5229
135	821	5216
136	825	5202
137	831	5192
138	836	5179
139	841	5167
140	846	5155
141	851	5142
142	856	5131
143	861	5118
144	865	5105
145	871	5094
146	876	5083
147	880	5070
148	885	5058
149	891	5049
150	896	5038
151	901	5027
152	905	5015
153	910	5003
154	916	4996
155	921	4985
156	927	4979
157	932	4968
158	937	4957
159	942	4948
160	947	4937
161	952	4927
162	957	4916
163	962	4904
164	967	4894
165	972	4885
166	977	4874
167	982	4866
168	987	4856
169	992	4847
170	997	4836
171	1002	4826
172	1007	4815
173	1012	4804
174	1016	4793
175	1021	4783
176	1026	4774
177	1031	4763
178	1036	4755
179	1041	4745
180	1046	4735
181	1051	4726
182	1056	4718
183	1061	4708
184	1066	4698
185	1071	4689
186	1076	4680
187	1081	4671
188	1087	4665
189	1092	4658
190	1098	4650
191	1103	4642
